,TweetID,AuthorID,AuthorName,Tweets,arxiv_link,Abstract,Title
0,1093944976252248064,2675703570,Jorge I. Zuluaga,['A new crater discovered on the Moon by @LRO_NASA! It has a similar size that the crater possibly left by the impact during the lunar eclipse (our paper here <LINK>) <LINK> @coreyspowell @elakdawalla <LINK>'],http://arxiv.org/abs/1901.09573,"During lunar eclipse of January 21, 2019 a meteoroid impacted the Moon producing a visible light flash. The impact was witnessed by casual observers offering an opportunity to study the phenomenon from multiple geographical locations. We use images and videos collected by observers in 7 countries to estimate the location, impact parameters (speed and incoming direction) and energy of the meteoroid. Using parallax, we achieve determining the impact location at lat. $-29.43^{+0.30}_{-0.21}$, lon. $-67.89^{+0.07}_{-0.09}$ and geocentric distance as 356553 km. After devising and applying a photo-metric procedure for measuring flash standard magnitudes in multiple RGB images having different exposure times, we found that the flash, had an average G-magnitude $\langle G\rangle = 6.7\pm0.3$. We use gravitational ray tracing (GRT) to estimate the orbital properties and likely radiant of the impactor. We find that the meteoroid impacted the moon with a speed of $14^{+7}_{-6}$ km/s (70% C.L.) and at a shallow angle, $\theta < 38.2$ degrees. Assuming a normal error for our estimated flash brightness, educated priors for the luminous efficiency and object density, and using the GRT-computed probability distributions of impact speed and incoming directions, we calculate posterior probability distributions for the kinetic energy (median $K_{\rm med}$ = 0.8 kton), body mass ($M_{\rm med}$ = 27 kg) and diameter ($d_{\rm med}$ = 29 cm), and crater size ($D_{\rm med}$ = 9 m). If our assumptions are correct, the crater left by the impact could be detectable by prospecting lunar probes. These results arose from a timely collaboration between professional and amateur astronomers which highlight the potential importance of citizen science in astronomy. ","Location, orbit and energy of a meteoroid impacting the moon during the
  Lunar Eclipse of January 21, 2019"
1,1092818472567009281,228436420,Karlson Pfannschmidt,"['We asked ourselves, if it’s possible to generalize discrete choice to arbitrary choice functions while still beating current discrete choice models as a special case.\nThe answer is: Yes!\n\nWe are proud to announce our new paper: ""Learning Choice Functions""\n<LINK> <LINK>', 'The code of our approaches and all of the benchmark algorithms is implemented in #Python and #TensorFlow and available on #GitHub (incl. wrappers for hyperparameter optimization):\nhttps://t.co/iAVV36CcGj']",https://arxiv.org/abs/1901.10860,"Choice functions accept a set of alternatives as input and produce a preferred subset of these alternatives as output. We study the problem of learning such functions under conditions of context-dependence of preferences, which means that the preference in favor of a certain choice alternative may depend on what other options are also available. In spite of its practical relevance, this kind of context-dependence has received little attention in preference learning so far. We propose a suitable model based on context-dependent (latent) utility functions, thereby reducing the problem to the task of learning such utility functions. Practically, this comes with a number of challenges. For example, the set of alternatives provided as input to a choice function can be of any size, and the output of the function should not depend on the order in which the alternatives are presented. To meet these requirements, we propose two general approaches based on two representations of context-dependent utility functions, as well as instantiations in the form of appropriate end-to-end trainable neural network architectures. Moreover, to demonstrate the performance of both networks, we present extensive empirical evaluations on both synthetic and real-world datasets. ",Learning Context-Dependent Choice Functions
2,1092605829512089601,838848512766902272,Medford Group,['New paper from the group posted on arXiv: <LINK> We use computer vision and machine learning to examine the connection between electron density and exchange-correlation energy.'],https://arxiv.org/abs/1901.10822,"In this work we explore the potential of a new data-driven approach to the design of exchange-correlation (XC) functionals. The approach, inspired by convolutional filters in computer vision and surrogate functions from optimization, utilizes convolutions of the electron density to form a feature space to represent local electronic environments and neural networks to map the features to the exchange-correlation energy density. These features are orbital free, and provide a systematic route to including information at various length scales. This work shows that convolutional descriptors are theoretically capable of an exact representation of the electron density, and proposes Maxwell-Cartesian spherical harmonic kernels as a class of rotationally invariant descriptors for the construction of machine-learned functionals. The approach is demonstrated using data from the B3LYP functional on a number of small-molecules containing C, H, O, and N along with a neural network regression model. The machine-learned functionals are compared to standard physical approximations and the accuracy is assessed for the absolute energy of each molecular system as well as formation energies. The results indicate that it is possible to reproduce B3LYP formation energies to within chemical accuracy using orbital-free descriptors with a spatial extent of 0.2 A. The findings provide empirical insight into the spatial range of electron exchange, and suggest that the combination of convolutional descriptors and machine-learning regression models is a promising new framework for XC functional design, although challenges remain in obtaining training data and generating models consistent with pseudopotentials. ","Design and Analysis of Machine Learning Exchange-Correlation Functionals
  via Rotationally Invariant Convolutional Descriptors"
3,1091717920621821953,3098870333,Michael J. Baker,"[""New paper out this week, with @UZH_Science friends Javier Fuentes-Martin, Gino Isidori and Matthias König. \n\nWhy a B anomaly motivated leptoquark will come with a Z' and a coloron, and their associated LHC bounds.\n\n<LINK> <LINK>""]",https://arxiv.org/abs/1901.10480,"We present a detailed analysis of the collider signatures of TeV-scale massive vector bosons motivated by the hints of lepton flavour non-universality observed in $B$-meson decays. We analyse three representations that necessarily appear together in a large class of ultraviolet-complete models: a colour-singlet ($Z'$), a colour-triplet (the $U_1$ leptoquark), and a colour octet ($G'$). Under general assumptions for the interactions of these exotic states with Standard Model fields, including in particular possible right-handed and flavour off-diagonal couplings for the $U_1$, we derive a series of stringent bounds on masses and couplings that constrain a wide range of explicit new-physics models. ",High-pT Signatures in Vector-Leptoquark Models
4,1091272386098487302,1020088099,Umberto Picchini,"['new neural network architecture to automatically learn summaries for approximate Bayesian computation (ABC). Specifically designed for Markov data, works very well! See thread by @samuel_wiqvist , with @pamattei and @jesfrellsen. Paper at <LINK> Love this team! <LINK>']",https://arxiv.org/abs/1901.10230,"We present a novel family of deep neural architectures, named partially exchangeable networks (PENs) that leverage probabilistic symmetries. By design, PENs are invariant to block-switch transformations, which characterize the partial exchangeability properties of conditionally Markovian processes. Moreover, we show that any block-switch invariant function has a PEN-like representation. The DeepSets architecture is a special case of PEN and we can therefore also target fully exchangeable data. We employ PENs to learn summary statistics in approximate Bayesian computation (ABC). When comparing PENs to previous deep learning methods for learning summary statistics, our results are highly competitive, both considering time series and static models. Indeed, PENs provide more reliable posterior samples even when using less training data. ","Partially Exchangeable Networks and Architectures for Learning Summary
  Statistics in Approximate Bayesian Computation"
5,1091159857225330688,1576235694,Michael Brown,"['James Upjohn has a new paper on radio measurements of the cosmic star formation history, which riffs off his @Monash_Science honours research. \n\nOn @arxiv today and in PASA soon. <LINK> <LINK>']",https://arxiv.org/abs/1901.11222,"We measure the cosmic star formation history out to z = 1.3 using a sample of 918 radio-selected star forming galaxies within the 2 square degree COSMOS field. To increase our sample size, we combine 1.4 GHz flux densities from the VLA-COSMOS catalogue with flux densities measured from the VLA-COSMOS radio continuum image at the positions of I < 26.5 galaxies, enabling us to detect 1.4 GHz sources as faint as 40 uJy. We find radio measurements of the cosmic star formation history are highly dependent on sample completeness and models used to extrapolate the faint end of the radio luminosity function. For our preferred model of the luminosity function, we find the star formation rate density increases from 0.019 Solar masses per year per cubic Mpc at z = 0.225 to 0.104 Solar masses per year per cubic Mpc, which agrees to within 33% of recent UV, IR and 3 GHz measurements of the cosmic star formation history. ",The 1.4 GHz Cosmic Star Formation History at z &lt; 1.3
6,1091034695457034240,931179613178515459,Adilson E. Motter,"['Our new PNAS paper “Predicting Growth Rate from Gene Expression” (<LINK>) is now available on the arXiv: <LINK>. \n\nWe are also #SharingOurCode on the method, which includes the relevant metadata &amp; MI-POGUE’s source code: <LINK>. <LINK>']",https://arxiv.org/abs/1901.05010,"Growth rate is one of the most important and most complex phenotypic characteristics of unicellular microorganisms, which determines the genetic mutations that dominate at the population level, and ultimately whether the population will survive. Translating changes at the genetic level to their growth rate consequences remains a subject of intense interest, since such a mapping could rationally direct experiments to optimize antibiotic efficacy or bioreactor productivity. In this paper, we directly map transcriptional profiles to growth rates by gathering published gene-expression data from Escherichia coli and Saccharomyces cerevisiae with corresponding growth-rate measurements. Using a machine-learning technique called k-nearest-neighbors regression, we build a model which predicts growth rate from gene expression. By exploiting the correlated nature of gene expression and sparsifying the model, we capture 81% of the variance in growth rate of the E. coli dataset while reducing the number of features from over 4,000 to nine. In S. cerevisiae, we account for 89% of the variance in growth rate while reducing from over 5,500 dimensions to 18. Such a model provides a basis for selecting successful strategies from among the combinatorial number of experimental possibilities when attempting to optimize complex phenotypic traits like growth rate. ",Predicting Growth Rate from Gene Expression
7,1091020609071534082,35724743,Adrien Ecoffet,"[""Go-Explore paper out. New high/average scores: 18 million/650k on Montezuma's Revenge (44k w/o domain knowledge) &amp; 100k+/~60k on Pitfall, all tested w/ sticky actions! Huge thanks to my co-authors @Joost_Huizinga @joelbot3000 @jeffclune @kenneth0stanley. <LINK> <LINK>""]",https://arxiv.org/abs/1901.10995,"A grand challenge in reinforcement learning is intelligent exploration, especially when rewards are sparse or deceptive. Two Atari games serve as benchmarks for such hard-exploration domains: Montezuma's Revenge and Pitfall. On both games, current RL algorithms perform poorly, even those with intrinsic motivation, which is the dominant method to improve performance on hard-exploration domains. To address this shortfall, we introduce a new algorithm called Go-Explore. It exploits the following principles: (1) remember previously visited states, (2) first return to a promising state (without exploration), then explore from it, and (3) solve simulated environments through any available means (including by introducing determinism), then robustify via imitation learning. The combined effect of these principles is a dramatic performance improvement on hard-exploration problems. On Montezuma's Revenge, Go-Explore scores a mean of over 43k points, almost 4 times the previous state of the art. Go-Explore can also harness human-provided domain knowledge and, when augmented with it, scores a mean of over 650k points on Montezuma's Revenge. Its max performance of nearly 18 million surpasses the human world record, meeting even the strictest definition of ""superhuman"" performance. On Pitfall, Go-Explore with domain knowledge is the first algorithm to score above zero. Its mean score of almost 60k points exceeds expert human performance. Because Go-Explore produces high-performing demonstrations automatically and cheaply, it also outperforms imitation learning work where humans provide solution demonstrations. Go-Explore opens up many new research directions into improving it and weaving its insights into current RL algorithms. It may also enable progress on previously unsolvable hard-exploration problems in many domains, especially those that harness a simulator during training (e.g. robotics). ",Go-Explore: a New Approach for Hard-Exploration Problems
8,1090965042416287744,20865039,Tristan Deleu,"['Our new paper ""A Meta-Transfer Objective for Learning to Disentangle Causal Mechanisms"" is now out <LINK> - together with Yoshua Bengio, Nasim Rahaman, @rosemary_ke, Sebastien Lachapelle, Olexa Bilaniuk, @anirudhg9119 &amp; @chrisjpal @MILAMontreal']",https://arxiv.org/abs/1901.10912,"We propose to meta-learn causal structures based on how fast a learner adapts to new distributions arising from sparse distributional changes, e.g. due to interventions, actions of agents and other sources of non-stationarities. We show that under this assumption, the correct causal structural choices lead to faster adaptation to modified distributions because the changes are concentrated in one or just a few mechanisms when the learned knowledge is modularized appropriately. This leads to sparse expected gradients and a lower effective number of degrees of freedom needing to be relearned while adapting to the change. It motivates using the speed of adaptation to a modified distribution as a meta-learning objective. We demonstrate how this can be used to determine the cause-effect relationship between two observed variables. The distributional changes do not need to correspond to standard interventions (clamping a variable), and the learner has no direct knowledge of these interventions. We show that causal structures can be parameterized via continuous variables and learned end-to-end. We then explore how these ideas could be used to also learn an encoder that would map low-level observed variables to unobserved causal variables leading to faster adaptation out-of-distribution, learning a representation space where one can satisfy the assumptions of independent mechanisms and of small and sparse changes in these mechanisms due to actions and non-stationarities. ",A Meta-Transfer Objective for Learning to Disentangle Causal Mechanisms
9,1090870523813351424,760574568490635264,Eyal Ronen,"['Our new paper ""A Simple Explanation for the Existence of Adversarial Examples with Small Hamming Distance"" is now available online! This is a joint work together with Adi Shamir, Itay Safran and @mkilmo <LINK>']",https://arxiv.org/abs/1901.10861,"The existence of adversarial examples in which an imperceptible change in the input can fool well trained neural networks was experimentally discovered by Szegedy et al in 2013, who called them ""Intriguing properties of neural networks"". Since then, this topic had become one of the hottest research areas within machine learning, but the ease with which we can switch between any two decisions in targeted attacks is still far from being understood, and in particular it is not clear which parameters determine the number of input coordinates we have to change in order to mislead the network. In this paper we develop a simple mathematical framework which enables us to think about this baffling phenomenon from a fresh perspective, turning it into a natural consequence of the geometry of $\mathbb{R}^n$ with the $L_0$ (Hamming) metric, which can be quantitatively analyzed. In particular, we explain why we should expect to find targeted adversarial examples with Hamming distance of roughly $m$ in arbitrarily deep neural networks which are designed to distinguish between $m$ input classes. ","A Simple Explanation for the Existence of Adversarial Examples with
  Small Hamming Distance"
